chengyu,mot_clef,literal_keyword_category,label_principal,labels_secondaires,label_final,labels,人生,冲动,分类,品格,外貌,态度,恐惧,情感,状态,社会,积累,能力,行为,言语,认知,评价,身体,道德
好心好意,心,身体部位,情感/态度,善意;好意;真诚,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
怀恨在心,心,身体部位,情感/负面情绪,怨恨;记仇;不满,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
灰心丧气,心,身体部位,情感/心理状态,沮丧;失去信心;消极,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
回心转意,心,身体部位,认知/决策变化,改变主意;转变立场,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
会心一笑,心,身体部位,情感/认知共鸣,理解;默契;心领神会,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
蕙质兰心,心,身体部位,品格/气质,高雅;纯洁;美好品质,品格,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
计上心来,心,身体部位,认知/生成过程,灵感;突发想法;策略形成,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
觊觎之心,心,身体部位,动机/欲望,贪欲;觊觎;占有欲,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
见财起心,心,身体部位,动机/道德偏差,贪念;犯罪动机;诱惑,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
见猎心喜,心,身体部位,情感/兴趣,热情;兴奋;兴趣激活,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
江心补漏,心,身体部位,行为/时机错误,为时已晚;补救无效,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
将心比心,心,身体部位,社会/伦理原则,同理心;换位思考;公平,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
匠心独运,心,身体部位,认知/创造力,创新;独特设计;匠心,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
降心相从,心,身体部位,社会/行为调整,让步;顺从;放弃立场,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
锦心绣腹,心;腹,身体部位,认知/才华,文采;才华;表达能力,认知,"['能力', '认知']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
尽心竭力,心,身体部位,行为/投入程度,尽力;努力;全力以赴,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
惊心动魄,心,身体部位,情感/强烈情绪,震撼;惊恐;强烈感受,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
精心策划,心,身体部位,认知/规划,计划;设计;精细安排,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
居心叵测,心,身体部位,动机/道德评价,恶意;不良企图;隐藏动机,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
空心架子,心,身体部位,评价/本质特征,空洞;无实质;虚有其表,评价,['评价'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
空心汤团,心,身体部位,评价/价值判断,空想;无收益;虚假承诺,评价,['评价'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
扣人心弦,心,身体部位,情感/触发机制,感动;吸引;情绪共鸣,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
苦心经营,心,身体部位,行为/长期投入,努力;经营;持续付出,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
苦心孤诣,心,身体部位,认知/成就过程,钻研;专注;达到高水平,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
兰形棘心,心,身体部位,评价/表里不一,虚伪;外表美好内心恶劣,评价,['评价'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
冷心冷面,心,身体部位,情感/态度,冷漠;无情;不动情,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
力不从心,心,身体部位,能力/限制,能力不足;力不从心;无能为力,能力,['能力'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
理亏心虚,心,身体部位,认知/心理状态,心虚;缺乏信心;有错在先,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
离心离德,心,身体部位,社会/关系状态,分裂;不忠;不一致,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
利欲熏心,心,身体部位,动机/道德偏差,贪婪;利益驱动;道德沦丧,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
良工心苦,心,身体部位,认知/创造过程,用心;精心;创作艰辛,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
聊表寸心,心,身体部位,情感/表达程度,表达心意;有限表达;谦辞,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
笼络人心,心,身体部位,社会/操控,拉拢;获取支持;影响他人,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
镂心刻骨,心;骨,身体部位,认知/记忆,深刻记忆;难忘;铭记,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
戮力齐心,心,身体部位,社会/集体行为,合作;团结;共同努力,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
瞒心昧己,心,身体部位,道德/良知,违背良心;自欺;道德缺失,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
满怀信心,心,身体部位,心理/状态,自信;信念;积极态度,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
漫不经心,心,身体部位,认知/注意力,不专心;疏忽;不重视,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
昧己瞒心,心,身体部位,道德/良知,自欺;违背良心;掩饰真相,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
漠不关心,心,身体部位,情感/态度,冷漠;无关心;缺乏兴趣,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
木石心肠,心,身体部位,情感/性格特征,冷酷;无情;缺乏同情,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
木人石心,心,身体部位,情感/性格特征,冷漠;无情;缺乏同情,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
呕心沥血,心,身体部位,行动/努力,付出巨大努力;辛苦工作;奉献,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
平心而论,心,身体部位,认知/判断,客观;公正;理性判断,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
平心静气,心,身体部位,心理/状态,冷静;平稳;控制情绪,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
菩萨心肠,心,身体部位,情感/性格特征,善良;仁慈;同情心,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
沁人心脾,心;脾,身体部位,情感/体验,愉悦;舒适;感官享受,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
清心寡欲,心,身体部位,心理/状态,克制欲望;淡泊;清净,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
全无心肝,心;肝,身体部位,道德/品格,残忍;无情;缺乏良知,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
全心全意,心,身体部位,行动/态度,全力以赴;专心;投入,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
人老心红,心,身体部位,性格/态度,热情;忠诚;积极,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
人心不古,心,身体部位,社会/道德评价,道德衰退;世风下降,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
人心惶惶,心,身体部位,情感/状态,恐慌;焦虑;不安,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
人心所向,心,身体部位,社会/集体意志,公众意愿;支持;倾向,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
人心向背,心,身体部位,社会/态度,支持与反对;民意分化,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
柔心弱骨,心;骨,身体部位,性格特征,温和;柔弱;性格软弱,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
三心二意,心,身体部位,认知/决策状态,犹豫;不专一;动摇,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
丧心病狂,心,身体部位,道德/心理异常,极端残忍;疯狂;失去理性,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
煞费苦心,心,身体部位,行动/努力,费尽心思;努力;策划,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
伤心惨目,心;目,身体部位,情感/体验,悲痛;惨烈;令人难受,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
赏心悦目,心;目,身体部位,情感/体验,愉悦;美感;视觉享受,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
深入人心,心,身体部位,认知/影响,影响深刻;被接受;传播,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
师心自用,心,身体部位,认知/态度,自负;主观;固执,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
实心实意,心,身体部位,情感/态度,真诚;诚恳;真实,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
世道人心,心,身体部位,社会/道德,社会风气;人心状态,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
事与心违,心,身体部位,认知/期望,愿望落空;不符合预期,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
私心杂念,心,身体部位,道德/心理,自私;杂念;动机不纯,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
死心塌地,心,身体部位,态度/行为,坚定;执着;忠诚,态度,['态度'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
贪心不足,心,身体部位,道德/心理,贪婪;欲望无止境,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
提心吊胆,心;胆,身体部位,情感/状态,恐惧;焦虑;紧张,情感,"['恐惧', '情感']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
天地良心,心,身体部位,道德/判断,良知;诚实;正直,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
天理良心,心,身体部位,道德/判断,良知;正义;道德规范,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
铁石心肠,心;肠,身体部位,情感/性格特征,冷酷;无情;残忍,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
童心未泯,心,身体部位,性格/心理,天真;纯真;童趣,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
同心同德,心,身体部位,社会/关系,团结;一致;合作,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
痛心疾首,心;首,身体部位,情感/状态,痛苦;悔恨;悲伤,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
痛下决心,心,身体部位,认知/决策,坚定决定;决心;果断,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
推心置腹,心;腹,身体部位,社会/交往,坦诚;信任;真诚交流,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
挖空心思,心,身体部位,认知/努力,费尽心思;思考;策划,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
万箭穿心,心,身体部位,情感/体验,极度痛苦;悲伤;打击,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
万众一心,心,身体部位,社会/集体意志,团结;一致;共同目标,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
枉费心机,心,身体部位,行动/结果,徒劳;无效努力;失败,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
违心之论,心,身体部位,认知/态度,违背内心;不真实;勉强,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
问心无愧,心,身体部位,道德/心理,无愧;坦然;良心安定,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
无所用心,心,身体部位,心理/态度,漫不经心;冷漠;不投入,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
洗心革面,心,身体部位,行为/转变,改过自新;转变;重新做人,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
小心谨慎,心,身体部位,行为/态度,谨慎;小心;警惕,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
蜂拥而上,蜂,动物,行为/群体行为,迅速;聚集;大量行动,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
招蜂引蝶,蜂;蝶,动物,行为/人际行为,吸引异性;调情;轻佻,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
飞鹰走狗,鹰;狗,动物,行为/娱乐活动,狩猎;享乐;消遣,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
饥鹰饿虎,鹰;虎,动物,品格/性格,残忍;贪婪;凶狠,品格,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
鹰鼻鹞眼,鹰;鹞,动物,外貌/性格评价,凶狠;狡诈;阴险,外貌,['外貌'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
鹰瞵鹗视,鹰;鹗,动物,行为/状态,凶狠;警觉;威慑,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
鹰瞵虎视,鹰;虎,动物,行为/状态,威胁;凶狠;觊觎,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
鹰拿燕雀,鹰;燕;雀,动物,能力/结果,轻松;容易;压倒性优势,能力,['能力'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
鹰犬塞途,鹰;犬,动物,社会/权力结构,压迫;控制;权势,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
鹰视虎步,鹰;虎,动物,品格/行为,野心;阴险;威慑,品格,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
鹰扬虎视,鹰;虎,动物,外貌/气质评价,威严;雄壮;气势,外貌,"['品格', '外貌']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
博士买驴,驴,动物,言语/表达,冗长;空洞;无效表达,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
非驴非马,驴;马,动物,认知/分类,模糊;不明确;不成体系,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
驴鸣狗吠,驴;狗,动物,言语/表达,粗俗;低劣;无价值,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
驴年马月,驴;马,动物,时间/概念,遥远;不可能;虚无,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
骑驴倒堕,驴,动物,状态/情境,意外;失误;反常,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
骑驴找马,驴;马,动物,行为/选择策略,不满足;寻找更好;比较,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
黔驴技穷,驴,动物,能力/状态,无能;穷尽;无计可施,能力,['能力'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
卸磨杀驴,驴,动物,社会/行为评价,忘恩负义;利用后抛弃,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
蛛丝马迹,蛛;马,动物,认知/推理,线索;痕迹;推断依据,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
蛛网尘封,蛛,动物,状态/环境,荒废;久未使用;冷落,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
鲸吞虎噬,鲸;虎,动物,行为/社会行为,贪婪;掠夺;压迫,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
鹡鸰在原,鹡鸰,动物,社会/关系情感,兄弟情;互助;亲情,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
蚌鹬争衡,蚌;鹬,动物,社会/互动关系,冲突;两败俱伤;第三方获利,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
百兽率舞,兽,动物,社会/政治评价,太平;和谐;德治,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
飞禽走兽,禽;兽,动物,分类/概念,动物总体;自然类别,分类,['分类'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
困兽犹斗,兽,动物,行为/状态,绝境反抗;顽强;拼搏,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
鸟声兽心,鸟;兽,动物,道德/品格,虚伪;残忍;表里不一,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
禽奔兽遁,禽;兽,动物,行为/群体状态,逃散;混乱;慌乱,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
禽困覆车,禽,动物,行为/状态,绝望反抗;极端行为,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
禽兽不如,禽;兽,动物,道德/评价,卑劣;残忍;不道德,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
人面兽心,兽,动物,道德/品格,残忍;虚伪;伪善,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
人头畜鸣,畜,动物,认知/能力评价,愚蠢;无知;低劣,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
兽聚鸟散,兽;鸟,动物,社会/群体行为,聚散无常;不稳定,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
率兽食人,兽,动物,社会/权力行为,压迫;暴政;剥削,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
衣冠禽兽,禽;兽,动物,道德/品格,伪善;卑鄙;虚伪,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
珍禽奇兽,禽;兽,动物,分类/概念,稀有;珍贵;自然类别,分类,['分类'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
版筑饭牛,牛,动物,社会/身份评价,出身低微;成功;逆袭,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
吹牛拍马,牛;马,动物,言语/表达,夸大;奉承;虚伪,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
椎牛飨士,牛,动物,社会/行为,奖励;慷慨;激励,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
带牛佩犊,牛,动物,社会/生活转变,归隐;转业;和平生活,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
对牛弹琴,牛,动物,言语/表达,无效沟通;对象不理解;徒劳,言语,['言语'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
多如牛毛,牛,动物,数量/程度,大量;极多,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
放牛归马,牛;马,动物,社会/状态,和平;结束冲突,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
汗牛充栋,牛,动物,数量/状态,丰富;积累;知识量大,认知,"['积累', '认知']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
九牛一毛,牛,动物,数量/程度,微小;可忽略;比例极小,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
老牛破车,牛,动物,状态/能力,缓慢;低效;落后,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
牛黄狗宝,牛;狗,动物,道德/品格,虚伪;伪善;负面评价,道德,['道德'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
老牛舐犊,牛,动物,情感/关系,亲情;关爱;父母之爱,情感,['情感'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
卖剑买牛,牛,动物,行为/人生转变,弃武从文;改过;回归平静,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
目无全牛,牛,动物,能力/技能掌握,熟练;精通;经验丰富,能力,['能力'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
泥牛入海,牛,动物,状态/结果,消失;无回音;无结果,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
牛刀割鸡,牛;鸡,动物,行为/资源使用,浪费;不匹配;大材小用,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
牛刀小试,牛,动物,能力/表现,初试;展示才能;潜力,能力,['能力'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
牛鼎烹鸡,牛;鸡,动物,行为/资源使用,浪费;大材小用;不匹配,行为,['行为'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
牛鬼蛇神,牛;蛇,动物,社会/道德评价,邪恶;负面人物;混乱,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
牛骥共牢,牛;骥,动物,社会/关系状态,混杂;不分优劣;不公平,社会,['社会'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
牛马生活,牛;马,动物,生活状态,劳累;压迫;辛苦,状态,['状态'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
牛毛细雨,牛,动物,自然/现象,细小;持续;微弱,认知,['认知'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
牛溲马勃,牛;马,动物,价值/评价,廉价;低价值;实用性,评价,['评价'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
