expression,mot_clef,literal_keyword_category,label_principal,labels_secondaires,justification,source_label,label_main,label_final,labels,occurrence_count,files
à bras ouverts,bras,partie du corps,accueil/chaleur humaine,hospitalité; affection,exprime un accueil chaleureux,artificial,accueil,social,"['autre', 'social', 'émotion']",1,chunk_01.txt
en chair et en os,chair,partie du corps,présence réelle,matérialité; existence,désigne une personne physiquement présente et réelle,artificial,présence réelle,présence réelle,['autre'],3,chunk_20.txt; chunk_34.txt
connaître par cœur,cœur,partie du corps,mémoire,apprentissage; maîtrise,désigne une connaissance parfaite et mémorisée,artificial,mémoire,cognition,"['autre', 'capacité', 'cognition']",1,chunk_38.txt
de bon cœur,cœur,partie du corps,bonne volonté,générosité; sincérité,désigne une action faite avec plaisir et sincérité,artificial,bonne volonté,morale,['morale'],1,chunk_46.txt
en avoir le cœur net,cœur,partie du corps,certitude,vérification; clarification,désigne le fait de vouloir connaître la vérité,artificial,certitude,cognition,"['autre', 'cognition']",1,chunk_02.txt
corps et âme,corps,partie du corps,engagement total,dévouement; sincérité,désigne un investissement complet et sincère,artificial,engagement total,comportement,"['autre', 'comportement', 'morale']",3,chunk_10.txt; chunk_14.txt; chunk_49.txt
à visage découvert,visage,partie du corps,franchise,transparence; honnêteté,désigne une action réalisée ouvertement et sans se cacher,artificial,franchise,langage,"['autre', 'langage']",2,chunk_12.txt; chunk_19.txt
avoir la main,main,partie du corps,contrôle/avantage,habitude; supériorité,désigne le fait d’avoir l’avantage ou l’habitude dans une activité,artificial,contrôle,social,"['autre', 'social']",1,chunk_27.txt
de main de maître,main,partie du corps,maîtrise,perfection; expertise,désigne une action réalisée avec une grande compétence,artificial,maîtrise,capacité,"['autre', 'capacité']",1,chunk_03.txt
demander la main de,main,partie du corps,mariage,union; engagement,désigne une demande officielle en mariage,artificial,mariage,social,"['autre', 'social']",1,chunk_05.txt
de première main,main,partie du corps,source directe,authenticité; fiabilité,désigne une information obtenue directement à la source,artificial,source directe,source directe,['autre'],14,chunk_01.txt; chunk_02.txt; chunk_10.txt; chunk_23.txt; chunk_36.txt; chunk_38.txt; chunk_40.txt; chunk_48.txt; chunk_49.txt
donner un coup de main,main,partie du corps,aide,soutien; coopération,désigne le fait d’aider quelqu’un,artificial,aide,aide,"['autre', 'social']",1,chunk_40.txt
haut la main,main,partie du corps,succès facile,victoire; supériorité,désigne une réussite facile et nette,artificial,succès facile,succès facile,['autre'],2,chunk_35.txt
prêter main-forte,main,partie du corps,aide,soutien; assistance,désigne le fait d’aider efficacement quelqu’un,artificial,aide,aide,"['autre', 'social']",1,chunk_05.txt
à l’œil,œil,partie du corps,gratuité,approximation; informalité,désigne quelque chose obtenu gratuitement ou sans mesure précise,artificial,gratuité,quantité_valeur,"['autre', 'quantité_valeur']",70,chunk_01.txt; chunk_02.txt; chunk_03.txt; chunk_04.txt; chunk_05.txt; chunk_11.txt; chunk_14.txt; chunk_16.txt; chunk_18.txt; chunk_20.txt; chunk_21.txt; chunk_22.txt; chunk_23.txt; chunk_25.txt; chunk_26.txt; chunk_27.txt; chunk_28.txt; chunk_29.txt; chunk_30.txt; chunk_31.txt; chunk_32.txt; chunk_33.txt; chunk_35.txt; chunk_36.txt; chunk_38.txt; chunk_39.txt; chunk_41.txt; chunk_42.txt; chunk_43.txt; chunk_44.txt; chunk_45.txt; chunk_46.txt; chunk_49.txt; chunk_50.txt
du coin de l’œil,œil,partie du corps,observation discrète,surveillance; attention,désigne un regard furtif ou discret,artificial,observation discrète,cognition,"['autre', 'cognition']",1,chunk_15.txt
en un clin d’œil,œil,partie du corps,rapidité,instantanéité; vitesse,désigne quelque chose de très rapide,artificial,rapidité,temps_espace,"['autre', 'temps_espace']",1,chunk_22.txt
les yeux fermés,yeux,partie du corps,confiance,habitude; certitude,désigne une action réalisée sans hésitation ou avec confiance,artificial,confiance,confiance,"['autre', 'cognition']",15,chunk_06.txt; chunk_09.txt; chunk_13.txt; chunk_19.txt; chunk_20.txt; chunk_30.txt; chunk_35.txt; chunk_38.txt; chunk_44.txt; chunk_50.txt
mon œil,œil,partie du corps,incrédulité,moquerie; refus,désigne une expression de doute ou de refus de croire,artificial,incrédulité,cognition,"['autre', 'cognition', 'comportement']",1,chunk_47.txt
pour les beaux yeux de,yeux,partie du corps,affection,séduction; motivation,désigne une action faite par amour ou admiration,artificial,affection,émotion,"['autre', 'émotion']",1,chunk_41.txt
un œil au beurre noir,œil,partie du corps,blessure,violence; hématome,désigne un œil marqué par un coup,artificial,blessure,état_physique,"['autre', 'état_physique']",1,chunk_34.txt
voir à l’œil nu,œil,partie du corps,perception directe,visibilité; observation,désigne quelque chose visible sans instrument,artificial,perception directe,perception directe,"['autre', 'cognition']",1,chunk_39.txt
d’arrache-pied,pied,partie du corps,travail intense,effort; persévérance,désigne un travail acharné et continu,artificial,travail intense,comportement,"['autre', 'comportement']",1,chunk_01.txt
de pied ferme,pied,partie du corps,détermination,stabilité; résistance,désigne une attitude ferme et décidée,artificial,détermination,détermination,"['autre', 'comportement']",1,chunk_44.txt
mettre sur pied,pied,partie du corps,organisation,création; préparation,désigne le fait d’organiser ou de mettre en place quelque chose,artificial,organisation,organisation,"['autre', 'comportement']",20,chunk_04.txt; chunk_05.txt; chunk_10.txt; chunk_13.txt; chunk_16.txt; chunk_23.txt; chunk_24.txt; chunk_32.txt; chunk_34.txt; chunk_36.txt; chunk_38.txt; chunk_40.txt; chunk_45.txt; chunk_46.txt; chunk_47.txt
talon d’Achille,talon,partie du corps,point faible,vulnérabilité; faiblesse,désigne le point faible principal d’une personne ou d’un système,artificial,point faible,point faible,['autre'],3,chunk_23.txt; chunk_44.txt; chunk_50.txt
baisser la tête,tête,partie du corps,soumission,honte; résignation,désigne une attitude de résignation ou d’humiliation,artificial,soumission,social,"['autre', 'social', 'émotion']",1,chunk_40.txt
perdre la tête,tête,partie du corps,folie,panique; perte de contrôle,désigne une perte de raison ou de contrôle émotionnel,artificial,folie,folie,['autre'],3,chunk_45.txt
sans queue ni tête,tête,partie du corps,absurdité,incohérence; désordre,désigne quelque chose d’incompréhensible ou incohérent,artificial,absurdité,autre,"['autre', 'cognition']",1,chunk_24.txt
un tête à tête,tête,partie du corps,entretien privé,intimité; rencontre,désigne une rencontre entre deux personnes seules,artificial,entretien privé,langage,"['autre', 'langage']",1,chunk_22.txt
une tête de cochon,tête,partie du corps,entêtement,obstination; caractère,désigne une personne très obstinée,artificial,entêtement,entêtement,['autre'],2,chunk_04.txt; chunk_25.txt
faire tourner en bourrique,bourrique,animal,agacement,énervement; exaspération,désigne le fait de rendre quelqu’un fou d’agacement,artificial,agacement,émotion,"['autre', 'émotion']",1,chunk_34.txt
un temps de chien,chien,animal,mauvais temps,intempérie; pluie,désigne un temps très désagréable,artificial,mauvais temps,mauvais temps,['autre'],1,chunk_09.txt
une vie de chien,chien,animal,vie difficile,souffrance; misère,désigne une existence pénible et difficile,artificial,vie difficile,vie difficile,['autre'],5,chunk_02.txt; chunk_08.txt; chunk_27.txt; chunk_44.txt
une tête de cochon,cochon,animal,entêtement,obstination; caractère,désigne une personne extrêmement têtue,artificial,entêtement,entêtement,['autre'],2,chunk_04.txt; chunk_25.txt
une poule mouillée,poule,animal,lâcheté,peur; faiblesse,désigne une personne peureuse,artificial,lâcheté,morale,"['autre', 'morale', 'émotion']",1,chunk_47.txt
une vraie fourmi,fourmi,animal,travailleur,persévérance; économie,désigne une personne très laborieuse et économe,artificial,travailleur,travailleur,['autre'],1,chunk_44.txt
une faim de loup,loup,animal,faim intense,appétit; voracité,désigne une très grande faim,artificial,faim intense,état_physique,"['autre', 'état_physique']",1,chunk_40.txt
bouc émissaire,bouc,animal,responsabilité injuste,accusation; sacrifice,désigne une personne accusée à la place des autres,artificial,responsabilité injuste,responsabilité injuste,['autre'],9,chunk_02.txt; chunk_05.txt; chunk_11.txt; chunk_15.txt; chunk_17.txt; chunk_22.txt; chunk_26.txt; chunk_35.txt; chunk_45.txt
brebis galeuse,brebis,animal,mauvaise influence,marginalité; déviance,désigne un membre problématique d’un groupe,artificial,mauvaise influence,mauvaise influence,['autre'],1,chunk_24.txt
des noms d’oiseaux,oiseaux,animal,insultes,injures; agressivité,désigne des paroles insultantes,artificial,insultes,langage,"['autre', 'langage']",1,chunk_38.txt
un oiseau rare,oiseau,animal,rareté,exception; valeur,désigne une personne ou une chose exceptionnelle et difficile à trouver,artificial,rareté,rareté,"['autre', 'quantité_valeur']",3,chunk_01.txt; chunk_09.txt; chunk_13.txt
battre de l’aile,aile,champ lexical de l’oiseau,déclin,affaiblissement; difficulté,désigne une situation qui se détériore,artificial,déclin,problème,"['autre', 'problème']",1,chunk_03.txt
voler de ses propres ailes,ailes,champ lexical de l’oiseau,autonomie,indépendance; maturité,désigne le fait de devenir indépendant,artificial,autonomie,autonomie,['autre'],1,chunk_07.txt
comme un poisson hors de l’eau,poisson,animal,malaise,inadaptation; inconfort,désigne une personne mal à l’aise dans une situation,artificial,malaise,état_physique,"['autre', 'état_physique']",1,chunk_26.txt
être rat,rat,animal,avarice,économie excessive; pingrerie,désigne une personne très avare,artificial,avarice,morale,"['autre', 'morale']",20,chunk_05.txt; chunk_06.txt; chunk_07.txt; chunk_13.txt; chunk_14.txt; chunk_17.txt; chunk_18.txt; chunk_31.txt; chunk_37.txt; chunk_45.txt; chunk_49.txt; chunk_50.txt
face de rat,rat,animal,apparence physique,laideur; maigreur,désigne un visage fin et jugé peu agréable,artificial,apparence physique,apparence,['apparence'],1,chunk_37.txt
